Frames,ThreadId,igToMmMsg_Send,Time,SensorId,RequestId,X,Y,Z,Roll,Pitch,Yaw,X Vel,Y Vel,Z Vel,RollVel,PitchVel,YawVel
1,140610502421504,true,1788547932.668797,2,19772,35.27,-116.64,15000.00,0.00,-10.30,26.53,0.0,0.0,0.0,0.0,0.0,0.0
1,140610502421504,false,1788547932.670,2,19772,-895.94,-56.01,-27.71,-26.52,-4.76,9.15,0.00,0.00,0.00,180.00,180.00,180.00
2,140610502421504,true,1788547932.685273,2,19772,35.27,-116.64,15000.00,0.00,-10.32,26.52,0.0,0.0,0.0,0.0,0.0,0.0
2,140610502421504,false,1788547932.686,2,19774,-895.44,-56.75,-27.67,-26.54,-4.82,9.09,0.00,0.00,0.00,180.00,180.00,180.00
3,140610502421504,true,1788547932.702175,2,19774,35.27,-116.64,15000.00,0.00,-10.28,26.54,0.0,0.0,0.0,0.0,0.0,0.0
3,140610502421504,false,1788547932.703,2,19774,-895.35,-57.11,-27.65,-26.54,-4.87,9.05,0.00,0.00,0.00,180.00,180.00,180.00
4,140610502421504,true,1788547932.718645,2,19774,35.27,-116.64,15000.00,0.00,-10.27,26.54,0.0,0.0,0.0,0.0,0.0,0.0
4,140610502421504,false,1788547932.720,2,19776,-895.02,-57.62,-27.65,-26.56,-4.95,8.97,0.00,0.00,0.00,180.00,180.00,180.00
5,140610502421504,true,1788547932.735307,2,19776,35.27,-116.64,15000.00,0.00,-10.24,26.56,0.0,0.0,0.0,0.0,0.0,0.0
5,140610502421504,false,1788547932.736,2,19776,-894.87,-57.82,-27.55,-26.56,-4.98,8.93,0.00,0.00,0.00,180.00,180.00,180.00
6,140610502421504,true,1788547932.751981,2,19776,35.27,-116.64,15000.00,0.00,-10.21,26.56,0.0,0.0,0.0,0.0,0.0,0.0
6,140610502421504,false,1788547932.753,2,19778,-894.80,-58.27,-27.44,-26.54,-4.99,8.87,0.00,0.00,0.00,180.00,180.00,180.00
7,140610502421504,true,1788547932.768628,2,19778,35.27,-116.64,15000.00,0.00,-10.16,26.54,0.0,0.0,0.0,0.0,0.0,0.0
7,140610502421504,false,1788547932.770,2,19778,-894.59,-58.25,-27.32,-26.54,-4.99,8.85,0.00,0.00,0.00,180.00,180.00,180.00
8,140610502421504,true,1788547932.785309,2,19778,35.27,-116.64,15000.00,0.00,-10.15,26.54,0.0,0.0,0.0,0.0,0.0,0.0
8,140610502421504,false,1788547932.786,2,19780,-894.25,-58.33,-27.46,-26.53,-4.97,8.86,0.00,0.00,0.00,180.00,180.00,180.00
9,140610502421504,true,1788547932.801973,2,19780,35.27,-116.64,15000.00,0.00,-10.15,26.53,0.0,0.0,0.0,0.0,0.0,0.0
9,140610502421504,false,1788547932.803,2,19780,-894.10,-58.44,-27.61,-26.53,-4.97,8.87,0.00,0.00,0.00,180.00,180.00,180.00
10,140610502421504,true,1788547932.818712,2,19780,35.27,-116.64,15000.00,0.00,-10.16,26.53,0.0,0.0,0.0,0.0,0.0,0.0
10,140610502421504,false,1788547932.820,2,19782,-893.68,-58.48,-27.98,-26.56,-4.95,8.93,0.00,0.00,0.00,180.00,180.00,180.00
11,140610502421504,true,1788547932.835611,2,19782,35.27,-116.64,15000.00,0.00,-10.20,26.56,0.0,0.0,0.0,0.0,0.0,0.0
11,140610502421504,false,1788547932.837,2,19782,-893.51,-58.55,-28.16,-26.56,-4.95,8.94,0.00,0.00,0.00,180.00,180.00,180.00
12,140610502421504,true,1788547932.851940,2,19782,35.27,-116.64,15000.00,0.00,-10.21,26.56,0.0,0.0,0.0,0.0,0.0,0.0
12,140610502421504,false,1788547932.853,2,19784,-893.15,-58.58,-28.35,-26.57,-4.97,8.93,0.00,0.00,0.00,180.00,180.00,180.00
13,140610502421504,true,1788547932.868734,2,19784,35.27,-116.64,15000.00,0.00,-10.21,26.57,0.0,0.0,0.0,0.0,0.0,0.0
13,140610502421504,false,1788547932.870,2,19784,-893.06,-58.58,-28.40,-26.57,-5.00,8.90,0.00,0.00,0.00,180.00,180.00,180.00
14,140610502421504,true,1788547932.885433,2,19784,35.27,-116.64,15000.00,0.00,-10.19,26.57,0.0,0.0,0.0,0.0,0.0,0.0
14,140610502421504,false,1788547932.886,2,19786,-892.90,-58.59,-28.30,-26.57,-5.07,8.82,0.00,0.00,0.00,180.00,180.00,180.00
15,140610502421504,true,1788547932.902115,2,19786,35.27,-116.64,15000.00,0.00,-10.15,26.57,0.0,0.0,0.0,0.0,0.0,0.0
15,140610502421504,false,1788547932.903,2,19786,-892.79,-58.67,-28.26,-26.56,-5.08,8.82,0.00,0.00,0.00,180.00,180.00,180.00
16,140610502421504,true,1788547932.918638,2,19786,35.27,-116.64,15000.00,0.00,-10.16,26.56,0.0,0.0,0.0,0.0,0.0,0.0
17,140610502421504,true,1788547932.935265,2,19786,35.27,-116.64,15000.00,0.00,-10.16,26.56,0.0,0.0,0.0,0.0,0.0,0.0
17,140610502421504,false,1788547932.936,2,19788,-892.38,-58.84,-28.27,-26.56,-5.12,8.82,0.00,0.00,0.00,180.00,180.00,180.00
18,140610502421504,true,1788547932.951970,2,19788,35.27,-116.64,15000.00,0.00,-10.17,26.56,0.0,0.0,0.0,0.0,0.0,0.0
18,140610502421504,false,1788547932.953,2,19789,-892.19,-59.02,-28.22,-26.57,-5.12,8.80,0.00,0.00,0.00,180.00,180.00,180.00
19,140610502421504,true,1788547932.968644,2,19789,35.27,-116.64,15000.00,0.00,-10.16,26.57,0.0,0.0,0.0,0.0,0.0,0.0
19,140610502421504,false,1788547932.970,2,19789,-892.08,-59.10,-28.16,-26.58,-5.12,8.79,0.00,0.00,0.00,180.00,180.00,180.00
20,140610502421504,true,1788547932.985930,2,19789,35.27,-116.64,15000.00,0.00,-10.15,26.58,0.0,0.0,0.0,0.0,0.0,0.0
20,140610502421504,false,1788547932.987,2,19791,-891.91,-59.23,-28.02,-26.61,-5.10,8.75,0.00,0.00,0.00,180.00,180.00,180.00
21,140610502421504,true,1788547933.001973,2,19791,35.27,-116.64,15000.00,0.00,-10.11,26.61,0.0,0.0,0.0,0.0,0.0,0.0
21,140610502421504,false,1788547933.003,2,19791,-891.87,-59.40,-27.93,-26.63,-5.09,8.74,0.00,0.00,0.00,180.00,180.00,180.00
22,140610502421504,true,1788547933.018659,2,19791,35.27,-116.64,15000.00,0.00,-10.09,26.63,0.0,0.0,0.0,0.0,0.0,0.0
22,140610502421504,false,1788547933.020,2,19793,-891.77,-59.70,-27.83,-26.70,-5.10,8.69,0.00,0.00,0.00,180.00,180.00,180.00
23,140610502421504,true,1788547933.035312,2,19793,35.27,-116.64,15000.00,0.00,-10.06,26.70,0.0,0.0,0.0,0.0,0.0,0.0
23,140610502421504,false,1788547933.036,2,19793,-891.59,-59.81,-27.74,-26.75,-5.12,8.67,0.00,0.00,0.00,180.00,180.00,180.00
24,140610502421504,true,1788547933.051967,2,19793,35.27,-116.64,15000.00,0.00,-10.05,26.75,0.0,0.0,0.0,0.0,0.0,0.0
24,140610502421504,false,1788547933.053,2,19795,-891.50,-60.10,-27.80,-26.78,-5.14,8.67,0.00,0.00,0.00,180.00,180.00,180.00
25,140610502421504,true,1788547933.068619,2,19795,35.27,-116.64,15000.00,0.00,-10.05,26.78,0.0,0.0,0.0,0.0,0.0,0.0
25,140610502421504,false,1788547933.070,2,19795,-891.39,-60.24,-27.79,-26.80,-5.15,8.67,0.00,0.00,0.00,180.00,180.00,180.00
26,140610502421504,true,1788547933.085300,2,19795,35.27,-116.64,15000.00,0.00,-10.06,26.80,0.0,0.0,0.0,0.0,0.0,0.0
26,140610502421504,false,1788547933.086,2,19797,-891.34,-60.48,-27.97,-26.84,-5.18,8.66,0.00,0.00,0.00,180.00,180.00,180.00
27,140610502421504,true,1788547933.101974,2,19797,35.27,-116.64,15000.00,0.00,-10.07,26.84,0.0,0.0,0.0,0.0,0.0,0.0
27,140610502421504,false,1788547933.103,2,19797,-891.19,-60.56,-27.96,-26.85,-5.17,8.67,0.00,0.00,0.00,180.00,180.00,180.00
28,140610502421504,true,1788547933.118787,2,19797,35.27,-116.64,15000.00,0.00,-10.07,26.85,0.0,0.0,0.0,0.0,0.0,0.0
28,140610502421504,false,1788547933.120,2,19799,-891.11,-60.73,-28.09,-26.85,-5.17,8.67,0.00,0.00,0.00,180.00,180.00,180.00
29,140610502421504,true,1788547933.135480,2,19799,35.27,-116.64,15000.00,0.00,-10.07,26.85,0.0,0.0,0.0,0.0,0.0,0.0
29,140610502421504,false,1788547933.136,2,19799,-891.05,-60.77,-28.11,-26.85,-5.18,8.67,0.00,0.00,0.00,180.00,180.00,180.00
30,140610502421504,true,1788547933.151960,2,19799,35.27,-116.64,15000.00,0.00,-10.07,26.85,0.0,0.0,0.0,0.0,0.0,0.0
31,140610502421504,true,1788547933.168569,2,19799,35.27,-116.64,15000.00,0.00,-10.07,26.85,0.0,0.0,0.0,0.0,0.0,0.0
31,140610502421504,false,1788547933.170,2,19801,-890.99,-61.13,-28.01,-26.84,-5.16,8.68,0.00,0.00,0.00,180.00,180.00,180.00
32,140610502421504,true,1788547933.185278,2,19801,35.27,-116.64,15000.00,0.00,-10.08,26.84,0.0,0.0,0.0,0.0,0.0,0.0
32,140610502421504,false,1788547933.186,2,19802,-890.94,-61.21,-28.07,-26.86,-5.19,8.69,0.00,0.00,0.00,180.00,180.00,180.00
33,140610502421504,true,1788547933.201977,2,19802,35.27,-116.64,15000.00,0.00,-10.10,26.86,0.0,0.0,0.0,0.0,0.0,0.0
33,140610502421504,false,1788547933.203,2,19802,-890.85,-61.28,-28.11,-26.87,-5.19,8.73,0.00,0.00,0.00,180.00,180.00,180.00
34,140610502421504,true,1788547933.218672,2,19802,35.27,-116.64,15000.00,0.00,-10.13,26.87,0.0,0.0,0.0,0.0,0.0,0.0
34,140610502421504,false,1788547933.220,2,19804,-890.88,-61.34,-28.36,-26.87,-5.19,8.77,0.00,0.00,0.00,180.00,180.00,180.00
35,140610502421504,true,1788547933.235264,2,19804,35.27,-116.64,15000.00,0.00,-10.16,26.87,0.0,0.0,0.0,0.0,0.0,0.0
35,140610502421504,false,1788547933.236,2,19804,-890.83,-61.28,-28.39,-26.87,-5.20,8.78,0.00,0.00,0.00,180.00,180.00,180.00
36,140610502421504,true,1788547933.252009,2,19804,35.27,-116.64,15000.00,0.00,-10.18,26.87,0.0,0.0,0.0,0.0,0.0,0.0
36,140610502421504,false,1788547933.253,2,19806,-890.93,-61.24,-28.61,-26.85,-5.22,8.79,0.00,0.00,0.00,180.00,180.00,180.00
37,140610502421504,true,1788547933.268549,2,19806,35.27,-116.64,15000.00,0.00,-10.20,26.85,0.0,0.0,0.0,0.0,0.0,0.0
37,140610502421504,false,1788547933.270,2,19806,-890.94,-61.21,-28.67,-26.82,-5.23,8.80,0.00,0.00,0.00,180.00,180.00,180.00
38,140610502421504,true,1788547933.285228,2,19806,35.27,-116.64,15000.00,0.00,-10.22,26.82,0.0,0.0,0.0,0.0,0.0,0.0
38,140610502421504,false,1788547933.286,2,19808,-891.10,-61.03,-28.87,-26.80,-5.22,8.82,0.00,0.00,0.00,180.00,180.00,180.00
39,140610502421504,true,1788547933.301980,2,19808,35.27,-116.64,15000.00,0.00,-10.23,26.80,0.0,0.0,0.0,0.0,0.0,0.0
39,140610502421504,false,1788547933.303,2,19808,-891.11,-60.96,-28.70,-26.79,-5.21,8.83,0.00,0.00,0.00,180.00,180.00,180.00
