Frames,ThreadId,igToMmMsg_Send,Time,SensorId,RequestId,X,Y,Z,Roll,Pitch,Yaw,X Vel,Y Vel,Z Vel,RollVel,PitchVel,YawVel
1,140379497298944,true,1788553196.130827,2,12141,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
1,140379497298944,false,1788553196.132,2,12141,-1264.34,-78.89,-314.67,-11.86,0.99,3.07,0.00,0.00,0.00,180.00,180.00,180.00
2,140379497298944,true,1788553196.147199,2,12141,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
2,140379497298944,false,1788553196.148,2,12143,-1264.33,-78.94,-314.68,-11.86,0.99,3.07,0.00,0.00,0.00,180.00,180.00,180.00
3,140379497298944,true,1788553196.163694,2,12143,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
4,140379497298944,true,1788553196.180578,2,12143,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
4,140379497298944,false,1788553196.181,2,12144,-1264.38,-78.97,-314.72,-11.86,0.99,3.08,0.00,0.00,0.00,180.00,180.00,180.00
5,140379497298944,true,1788553196.197227,2,12144,35.27,-116.64,15000.00,0.00,-2.81,11.86,0.0,0.0,0.0,0.0,0.0,0.0
5,140379497298944,false,1788553196.198,2,12144,-1264.33,-78.99,-314.72,-11.86,0.99,3.07,0.00,0.00,0.00,180.00,180.00,180.00
6,140379497298944,true,1788553196.213889,2,12144,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
6,140379497298944,false,1788553196.215,2,12146,-1264.32,-79.01,-314.67,-11.86,0.99,3.07,0.00,0.00,0.00,180.00,180.00,180.00
7,140379497298944,true,1788553196.230364,2,12146,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
8,140379497298944,true,1788553196.247240,2,12146,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
8,140379497298944,false,1788553196.248,2,12147,-1264.29,-79.00,-314.75,-11.86,0.98,3.07,0.00,0.00,0.00,180.00,180.00,180.00
9,140379497298944,true,1788553196.263773,2,12147,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
10,140379497298944,true,1788553196.280401,2,12147,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
10,140379497298944,false,1788553196.281,2,12148,-1264.31,-79.09,-314.73,-11.85,0.99,3.07,0.00,0.00,0.00,180.00,180.00,180.00
11,140379497298944,true,1788553196.297065,2,12148,35.27,-116.64,15000.00,0.00,-2.81,11.85,0.0,0.0,0.0,0.0,0.0,0.0
11,140379497298944,false,1788553196.298,2,12148,-1264.29,-79.10,-314.74,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
12,140379497298944,true,1788553196.313779,2,12148,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
12,140379497298944,false,1788553196.315,2,12150,-1264.29,-79.14,-314.74,-11.86,0.99,3.08,0.00,0.00,0.00,180.00,180.00,180.00
13,140379497298944,true,1788553196.330439,2,12150,35.27,-116.64,15000.00,0.00,-2.81,11.86,0.0,0.0,0.0,0.0,0.0,0.0
13,140379497298944,false,1788553196.331,2,12150,-1264.27,-79.13,-314.74,-11.86,1.00,3.06,0.00,0.00,0.00,180.00,180.00,180.00
14,140379497298944,true,1788553196.347122,2,12150,35.27,-116.64,15000.00,0.00,-2.79,11.86,0.0,0.0,0.0,0.0,0.0,0.0
14,140379497298944,false,1788553196.348,2,12152,-1264.26,-79.13,-314.77,-11.86,0.99,3.06,0.00,0.00,0.00,180.00,180.00,180.00
15,140379497298944,true,1788553196.363797,2,12152,35.27,-116.64,15000.00,0.00,-2.79,11.86,0.0,0.0,0.0,0.0,0.0,0.0
15,140379497298944,false,1788553196.365,2,12152,-1264.27,-79.15,-314.77,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
16,140379497298944,true,1788553196.380425,2,12152,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
16,140379497298944,false,1788553196.381,2,12154,-1264.35,-79.12,-314.78,-11.85,0.99,3.07,0.00,0.00,0.00,180.00,180.00,180.00
17,140379497298944,true,1788553196.397126,2,12154,35.27,-116.64,15000.00,0.00,-2.80,11.85,0.0,0.0,0.0,0.0,0.0,0.0
17,140379497298944,false,1788553196.398,2,12154,-1264.35,-79.13,-314.80,-11.86,1.00,3.06,0.00,0.00,0.00,180.00,180.00,180.00
18,140379497298944,true,1788553196.413777,2,12154,35.27,-116.64,15000.00,0.00,-2.79,11.86,0.0,0.0,0.0,0.0,0.0,0.0
18,140379497298944,false,1788553196.415,2,12156,-1264.35,-79.12,-314.76,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
19,140379497298944,true,1788553196.430374,2,12156,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
19,140379497298944,false,1788553196.431,2,12156,-1264.34,-79.10,-314.76,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
20,140379497298944,true,1788553196.447088,2,12156,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
20,140379497298944,false,1788553196.448,2,12158,-1264.37,-79.13,-314.77,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
21,140379497298944,true,1788553196.463703,2,12158,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
21,140379497298944,false,1788553196.465,2,12158,-1264.38,-79.17,-314.79,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
22,140379497298944,true,1788553196.480381,2,12158,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
22,140379497298944,false,1788553196.481,2,12160,-1264.43,-79.11,-314.79,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
23,140379497298944,true,1788553196.497045,2,12160,35.27,-116.64,15000.00,0.00,-2.79,11.86,0.0,0.0,0.0,0.0,0.0,0.0
23,140379497298944,false,1788553196.498,2,12160,-1264.43,-79.15,-314.80,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
24,140379497298944,true,1788553196.513748,2,12160,35.27,-116.64,15000.00,0.00,-2.79,11.86,0.0,0.0,0.0,0.0,0.0,0.0
24,140379497298944,false,1788553196.515,2,12162,-1264.42,-79.09,-314.81,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
25,140379497298944,true,1788553196.530443,2,12162,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
25,140379497298944,false,1788553196.531,2,12162,-1264.43,-79.10,-314.82,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
26,140379497298944,true,1788553196.547130,2,12162,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
26,140379497298944,false,1788553196.548,2,12164,-1264.42,-79.02,-314.90,-11.86,1.00,3.06,0.00,0.00,0.00,180.00,180.00,180.00
27,140379497298944,true,1788553196.563732,2,12164,35.27,-116.64,15000.00,0.00,-2.79,11.86,0.0,0.0,0.0,0.0,0.0,0.0
27,140379497298944,false,1788553196.565,2,12164,-1264.44,-79.05,-314.90,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
28,140379497298944,true,1788553196.580364,2,12164,35.27,-116.64,15000.00,0.00,-2.80,11.86,0.0,0.0,0.0,0.0,0.0,0.0
28,140379497298944,false,1788553196.581,2,12166,-1264.48,-79.00,-314.88,-11.86,1.00,3.07,0.00,0.00,0.00,180.00,180.00,180.00
