frame,current_sight_los.az,current_sight_los.el,filtered_sight_az,filtered_sight_el,tads_yaw_rate,tads_pitch_rate,tads_yaw_rate_bias,tads_pitch_rate_bias,filtered_tads_yaw_rate_bias,filtered_tads_pitch_rate_bias,
 1,-6.11675E-02,-1.72886E-01,-8.39847E-02,-1.86642E-01, 0.00000E+00,-0.00000E+00,-2.19314E-03,-2.01655E-03,-2.19314E-03,-2.01655E-03,
 2,-6.11675E-02,-1.72886E-01,-8.39149E-02,-1.86613E-01, 0.00000E+00,-0.00000E+00,-2.17888E-03,-2.00796E-03,-2.17888E-03,-2.00796E-03,
 3,-6.11675E-02,-1.72886E-01,-8.38452E-02,-1.86585E-01, 0.00000E+00,-0.00000E+00,-2.16467E-03,-1.99938E-03,-2.16467E-03,-1.99938E-03,
 4,-6.10716E-02,-1.72886E-01,-8.37751E-02,-1.86556E-01, 0.00000E+00,-0.00000E+00,-2.15043E-03,-1.99081E-03,-2.15043E-03,-1.99081E-03,
 5,-6.08798E-02,-1.72886E-01,-8.37041E-02,-1.86527E-01, 0.00000E+00,-0.00000E+00,-2.13612E-03,-1.98227E-03,-2.13612E-03,-1.98227E-03,
 6,-6.07840E-02,-1.72886E-01,-8.36326E-02,-1.86499E-01, 0.00000E+00,-0.00000E+00,-2.12180E-03,-1.97374E-03,-2.12180E-03,-1.97374E-03,
 7,-6.06881E-02,-1.72886E-01,-8.35608E-02,-1.86470E-01, 0.00000E+00,-0.00000E+00,-2.10746E-03,-1.96524E-03,-2.10746E-03,-1.96524E-03,
 8,-6.05922E-02,-1.72886E-01,-8.34885E-02,-1.86441E-01, 0.00000E+00,-0.00000E+00,-2.09310E-03,-1.95675E-03,-2.09310E-03,-1.95675E-03,
 9,-6.04963E-02,-1.72886E-01,-8.34158E-02,-1.86412E-01, 0.00000E+00,-0.00000E+00,-2.07873E-03,-1.94827E-03,-2.07873E-03,-1.94827E-03,
 10,-6.04005E-02,-1.72886E-01,-8.33427E-02,-1.86383E-01, 0.00000E+00,-0.00000E+00,-2.06435E-03,-1.93982E-03,-2.06435E-03,-1.93982E-03,
 11,-6.02087E-02,-1.72982E-01,-8.32688E-02,-1.86355E-01, 0.00000E+00,-0.00000E+00,-2.04989E-03,-1.93144E-03,-2.04989E-03,-1.93144E-03,
