frame,tse_time,tse_in_manual,gunfire,temp1,temp2,range_fact,rk2,kg1,kg2,kg3,kg4,kg5,x1,x2,x3,x4,delta_target_range,delta_target_vel_l,delta_target_vel_m,est_target_range,est_target_vel_slm(1),est_target_vel_slm(2),est_target_vel_slm(3),tof,tse_lead_slm(1),tse_lead_slm(2),tse_lead_slm(3),c12,c14,c22,c24,c33,c35,c44,c55,tads_yaw_rate,tads_pitch_rate,tads_vel_slm(1),tads_vel_slm(2),tads_vel_slm(3),
 1, 0.00000E+00,TRUE,0, 0.00000E+00, 1.60317E+03, 1.45050E+00, 3.08781E+00, 0.00000E+00, 0.00000E+00, 9.98074E-01, 0.00000E+00, 1.24753E-03, 1.45050E+03, 2.58918E-04,-3.18120E+00, 2.92504E+00, 0.00000E+00, 2.07710E-02,-1.24724E-02, 1.45050E+03, 0.00000E+00,-3.20190E+00, 2.93751E+00, 3.40242E+00, 0.00000E+00,-1.30731E+01, 1.19936E+01, 3.20024E+01, 4.00000E-02, 1.60008E+03, 2.00000E+00, 3.08186E+00, 3.85213E-03, 1.00000E+02, 9.99975E+01,-2.19314E-03,-2.01655E-03, 0.00000E+00, 0.00000E+00, 0.00000E+00,
 2, 2.00000E-02,TRUE,0, 0.00000E+00, 6.24955E+00, 1.45050E+00, 3.08754E+00, 0.00000E+00, 0.00000E+00, 5.05957E-01, 0.00000E+00, 3.20619E-01, 1.45050E+03, 5.15014E-04,-3.17072E+00, 2.91870E+00, 0.00000E+00, 2.07469E-02,-1.24700E-02, 1.45050E+03, 2.58918E-04,-3.18120E+00, 2.92504E+00, 3.41344E+00, 1.06056E-03,-1.30306E+01, 1.19813E+01, 6.40095E+01, 1.18400E-01, 1.60024E+03, 3.96000E+00, 1.56217E+00, 9.89926E-01, 1.00000E+02, 9.93552E+01,-2.17888E-03,-2.00796E-03, 0.00000E+00, 0.00000E+00, 0.00000E+00,
 3, 4.00000E-02,TRUE,0, 0.00000E+00, 4.76777E+00, 1.45050E+00, 3.08729E+00, 0.00000E+00, 0.00000E+00, 3.52466E-01, 0.00000E+00, 6.20363E-01, 1.45050E+03, 7.68987E-04,-3.15977E+00, 2.91208E+00, 0.00000E+00, 3.07631E-02,-1.85027E-02, 1.45050E+03, 5.15014E-04,-3.17072E+00, 2.91870E+00, 3.41345E+00, 2.10957E-03,-1.29877E+01, 1.19554E+01, 9.60237E+01, 2.33648E-01, 1.60047E+03, 5.88080E+00, 1.08817E+00, 1.91524E+00, 1.00000E+02, 9.75461E+01,-2.16467E-03,-1.99938E-03, 0.00000E+00, 0.00000E+00, 0.00000E+00,
 4, 6.00000E-02,TRUE,0, 5.61971E+03, 4.32842E+00, 1.45050E+00, 3.08706E+00, 5.23788E-01, 2.27853E-02, 2.86793E-01, 6.83734E-05, 8.84809E-01, 1.44998E+03,-2.17646E-02,-3.14779E+00, 2.90485E+00,-1.00000E+00, 4.00853E-02,-2.40741E-02, 1.45050E+03, 7.68987E-04,-3.15977E+00, 2.91208E+00, 3.41345E+00, 3.14988E-03,-1.29429E+01, 1.19283E+01, 6.09775E+01, 1.82979E-01, 1.59787E+03, 7.75443E+00, 8.85346E-01, 2.73146E+00, 1.00000E+02, 9.42556E+01,-2.15043E-03,-1.99081E-03, 0.00000E+00, 0.00000E+00, 0.00000E+00,
 5, 8.00000E-02,TRUE,0, 0.00000E+00, 4.13841E+00, 1.44998E+00, 3.07041E+00, 0.00000E+00, 0.00000E+00, 2.58072E-01, 0.00000E+00, 1.10345E+00, 1.44998E+03,-2.15164E-02,-3.13390E+00, 2.89640E+00,-4.75708E-01, 4.93004E-02,-2.98657E-02, 1.44998E+03,-2.17646E-02,-3.14779E+00, 2.90485E+00, 3.41345E+00,-8.91507E-02,-1.28938E+01, 1.18987E+01, 9.29499E+01, 3.71306E-01, 1.59825E+03, 9.59934E+00, 7.92385E-01, 3.38804E+00, 1.00000E+02, 8.94464E+01,-2.13612E-03,-1.98227E-03, 0.00000E+00, 0.00000E+00, 0.00000E+00,
 6, 1.00000E-01,TRUE,0, 0.00000E+00, 4.06740E+00, 1.44998E+00, 3.07031E+00, 0.00000E+00, 0.00000E+00, 2.45142E-01, 0.00000E+00, 1.25821E+00, 1.44998E+03,-2.12706E-02,-3.11818E+00, 2.88691E+00,-4.75220E-01, 5.51414E-02,-3.31540E-02, 1.44998E+03,-2.15164E-02,-3.13390E+00, 2.89640E+00, 3.41117E+00,-8.80753E-02,-1.28283E+01, 1.18562E+01, 1.24936E+02, 5.92027E-01, 1.59871E+03, 1.14074E+01, 7.52662E-01, 3.86310E+00, 1.00000E+02, 8.34294E+01,-2.12180E-03,-1.97374E-03, 0.00000E+00, 0.00000E+00, 0.00000E+00,
 7, 1.20000E-01,TRUE,0, 3.67802E+03, 4.04160E+00, 1.44997E+00, 3.07023E+00, 3.85191E-01, 4.26690E-02, 2.40343E-01, 2.29409E-04, 1.35285E+00, 1.44979E+03,-4.12838E-02,-3.10050E+00, 2.87629E+00,-4.74731E-01, 5.88951E-02,-3.52061E-02, 1.44998E+03,-2.12706E-02,-3.11818E+00, 2.88691E+00, 3.41117E+00,-8.70693E-02,-1.27640E+01, 1.18173E+01, 9.64865E+01, 5.18758E-01, 1.59254E+03, 1.31432E+01, 7.37908E-01, 4.15356E+00, 9.99998E+01, 7.66953E+01,-2.10746E-03,-1.96524E-03, 0.00000E+00, 0.00000E+00, 0.00000E+00,
 8, 1.40000E-01,TRUE,0, 0.00000E+00, 4.02733E+00, 1.44979E+00, 3.06450E+00, 0.00000E+00, 0.00000E+00, 2.39074E-01, 0.00000E+00, 1.39622E+00, 1.44979E+03,-4.10457E-02,-3.08092E+00, 2.86455E+00,-2.90894E-01, 6.09267E-02,-3.63669E-02, 1.44979E+03,-4.12838E-02,-3.10050E+00, 2.87629E+00, 3.41117E+00,-1.68991E-01,-1.26916E+01, 1.17738E+01, 1.28365E+02, 8.05989E-01, 1.59313E+03, 1.48803E+01, 7.32642E-01, 4.27872E+00, 9.99998E+01, 6.97765E+01,-2.09310E-03,-1.95675E-03, 0.00000E+00, 0.00000E+00, 0.00000E+00,
 9, 1.60000E-01,TRUE,0, 0.00000E+00, 4.02162E+00, 1.44979E+00, 3.06446E+00, 0.00000E+00, 0.00000E+00, 2.38003E-01, 0.00000E+00, 1.39567E+00, 1.44979E+03,-4.08106E-02,-3.05991E+00, 2.85200E+00,-2.90039E-01, 6.06160E-02,-3.59747E-02, 1.44979E+03,-4.10457E-02,-3.08092E+00, 2.86455E+00, 3.41019E+00,-1.67968E-01,-1.26078E+01, 1.17224E+01, 1.60264E+02, 1.12152E+00, 1.59380E+03, 1.65827E+01, 7.29350E-01, 4.27698E+00, 9.99998E+01, 6.31517E+01,-2.07873E-03,-1.94827E-03, 0.00000E+00, 0.00000E+00, 0.00000E+00,
 10, 1.80000E-01,TRUE,0, 2.86707E+03, 4.01315E+00, 1.44979E+00, 3.06444E+00, 3.10511E-01, 6.70313E-02, 2.36400E-01, 5.10666E-04, 1.36650E+00, 1.44970E+03,-5.99630E-02,-3.03787E+00, 2.83889E+00,-2.89185E-01, 5.89392E-02,-3.47843E-02, 1.44979E+03,-4.08106E-02,-3.05991E+00, 2.85200E+00, 3.41019E+00,-1.67006E-01,-1.25218E+01, 1.16710E+01, 1.32508E+02, 1.00949E+00, 1.58164E+03, 1.81529E+01, 7.24434E-01, 4.18754E+00, 9.99990E+01, 5.71318E+01,-2.06435E-03,-1.93982E-03, 0.00000E+00, 0.00000E+00, 0.00000E+00,
